"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-47.659078,-22.72517
"Hydrochoerus hydrochaeris",-46.856594,-23.661271
"Hydrochoerus hydrochaeris",-49.266738,-25.383044
"Hydrochoerus hydrochaeris",-46.856444,-23.661204
"Hydrochoerus hydrochaeris",-43.911397,-19.64572
"Hydrochoerus hydrochaeris",-47.265453,-22.768531
"Hydrochoerus hydrochaeris",-49.060947,-26.92182
"Hydrochoerus hydrochaeris",-49.094867,-27.02713
"Hydrochoerus hydrochaeris",-47.44871,-21.957986
"Hydrochoerus hydrochaeris",-43.91125,-19.646358
"Hydrochoerus hydrochaeris",-49.357895,-25.4472
"Hydrochoerus hydrochaeris",-46.726438,-23.553316
"Hydrochoerus hydrochaeris",-45.431401,-23.6559
"Hydrochoerus hydrochaeris",-56.62517,-20.091492
"Hydrochoerus hydrochaeris",-49.054583,-21.407272
"Hydrochoerus hydrochaeris",-47.315225,-23.630253
"Hydrochoerus hydrochaeris",-45.983205,-15.989683
"Hydrochoerus hydrochaeris",-41.18104,-20.470865
"Hydrochoerus hydrochaeris",-47.625948,-22.707926
"Hydrochoerus hydrochaeris",-47.44973,-21.95904
"Hydrochoerus hydrochaeris",-47.449325,-21.957842
"Hydrochoerus hydrochaeris",-45.983205,-15.989683
"Hydrochoerus hydrochaeris",-45.983205,-15.989683
"Hydrochoerus hydrochaeris",-47.626114,-22.707962
"Hydrochoerus hydrochaeris",-47.449422,-21.957895
"Hydrochoerus hydrochaeris",-48.42875,-27.526613
"Hydrochoerus hydrochaeris",-40.335725,-20.364337
"Hydrochoerus hydrochaeris",-46.639387,-23.458353
"Hydrochoerus hydrochaeris",-46.625517,-23.644968
"Hydrochoerus hydrochaeris",-49.359406,-25.44586
"Hydrochoerus hydrochaeris",-56.62517,-20.091492
"Hydrochoerus hydrochaeris",-47.449483,-21.9579
"Hydrochoerus hydrochaeris",-46.691239,-23.587278
"Hydrochoerus hydrochaeris",-48.51495,-27.592045
"Hydrochoerus hydrochaeris",-45.453292,-22.427308
"Hydrochoerus hydrochaeris",-47.448401,-21.957928
"Hydrochoerus hydrochaeris",-52.540232,-32.54
"Hydrochoerus hydrochaeris",-47.054677,-22.875046
"Hydrochoerus hydrochaeris",-48.515422,-27.591087
"Hydrochoerus hydrochaeris",-47.472205,-21.957119
"Hydrochoerus hydrochaeris",-47.472205,-21.957119
"Hydrochoerus hydrochaeris",-45.253521,-21.704678
"Hydrochoerus hydrochaeris",-49.3065,-25.426261
"Hydrochoerus hydrochaeris",-46.720371,-23.553651
"Hydrochoerus hydrochaeris",-48.489912,-27.696171
"Hydrochoerus hydrochaeris",-55.966997,-20.098903
